GPS_code,Run,Site,Sp_ate,Days_Out,Towhee_Eat,Towhee_Visit,Thrasher_Eat,Thrasher_Visit,WCS_Eat,WCS_Visit,Rabbit_Eat,Rabbit_Visit,ScrubJay_Eat,ScrubJay_Visit,GS_Eat,GS_Visit,SpottedTow_Eat,SpottedTow_Visit,Quail_Visit,KangRat_Eat,KangRat_Visit,Bobcat_Visit,UnidentifiedBird_Visit,NeotomaSpp_Eat,NeotomaSpp_Visit,HouseFinch_Visit,DeerMouse_Eat,DeerMouse_Visit,Racoon_Visit,MorningDove_Visit,unidentifiedRat_Visit,YellowRumpedWarbler_Eat,SwansonsThrush_Visit,MockingBird_Visit,Coyote_Visit
JL_Mar23_S3,Ma23,3,CA_Towee,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Mar23_S4,Ma23,4,none,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0
JL_Mar23_S5,Ma23,5,multipred,3,0,0,1,2,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0
JL_Mar23_S6,Ma23,6,none,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap12_S1,Ap12,1,mixed_bird,0,1,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Ap12_S2,Ap12,2,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ap12_S3,Ap12,3,GS,0,0,0,0,0,0,0,0,2,0,0,2,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Ap12_S4,Ap12,4,CA_Towee,0,1,2,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap12_S5,Ap12,5,CA_Towee,0,4,4,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap12_S6,Ap12,6,none,0,0,2,0,0,0,0,0,12,0,0,0,2,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Ap23_S1,Ap26,1,mixed_bird,0,3,3,0,0,0,0,0,4,1,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap23_S2,Ap26,2,none,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap23_S3,Ap26,3,Thrasher,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap23_S4,Ap26,4,none,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ap23_S5,Ap26,5,CA_Towee,0,1,1,0,1,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap23_S6,Ap26,6,CA_Towee,0,2,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May22_S1,Ma25,1,none,0,0,2,0,0,0,0,0,22,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
May22_S2,Ma25,2,none,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May22_S3,Ma25,3,none,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May22_S4,Ma25,4,multipred,0,2,0,0,3,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
May22_S5,Ma25,5,GS,0,0,0,0,0,0,0,0,3,0,0,1,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0
May22_S6,Ma25,6,mixed_bird,0,4,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June7_S1,Ju4,1,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0
June7_S2,Ju4,2,krat,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0
June7_S3,Ju4,3,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
June7_S4,Ju4,4,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June7_S5,Ju4,5,multipred,0,0,1,0,4,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,1
June7_S6,Ju4,6,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June18_S1,Ju18,1,multipred,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0
June18_S2,Ju18,2,CA_Towee,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
June18_S3,Ju18,3,mixed_mammal,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
June18_S4,Ju18,4,woodrat,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,7,0,0,0,0,0,0,0
June18_S5,Ju18,5,woodrat,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
June18_S6,Ju18,6,woodrat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,35,0,0,0,0,0,0,0,0,0,0
Aug27_S1,Au28,1,Thrasher,0,0,2,1,1,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Aug27_S2,Au28,2,mixed_bird,0,4,6,1,2,0,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
Aug27_S3,Au28,3,multipred,0,2,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
Aug27_S4,Au28,4,CA_Towee,0,20,21,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug27_S5,Au28,5,multipred,0,1,1,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aug27_S6,Au28,6,multipred,0,1,4,0,1,0,0,3,56,0,0,3,123,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
Sep17_S1,Se18,1,Thrasher,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep17_S2,Se18,2,none,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep17_S4,Se18,4,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep17_S5,Se18,5,CA_Towee,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0
Sep17_S6,Se18,6,CA_Towee,0,6,7,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct10_S1,Oc10,1,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct10_S2,Oc10,2,woodrat,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,0,0,0,0,0,0,0,0,0,0
Oct10_S3,Oc10,3,woodrat,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0
Oct10_S4,Oc10,4,CA_Towee,0,1,3,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Oct10_S5,Oc10,5,mixed_mammal,0,0,2,0,0,0,0,1,7,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Nov5_S1,No6_2018,1,none,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Nov5_S2,No6_18,2,none,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Nov5_S3,No6_18,3,CA_Towee,0,7,5,0,0,0,5,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov5_S4,No6_18,4,none,0,0,5,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov5_S5,No6_18,5,CA_Towee,0,4,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,1,0,0,0,0,0,0,0
Nov5_S6,No6_18,6,CA_Towee,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
